,hco_tuple_animal_id,hco_winner,hco_loser,cohort,hco_averaged_winner,hco_averaged_loser,hco_winner_count,hco_loser_count,hco_count_difference,hco_match_count,hco_percent_win,hco_percentage_tie
16,"('3.2', '3.4')","['3.4', '3.4', '3.2', '3.2']","['3.2', '3.2', '3.4', '3.4']",pilot_2,3.4,3.2,2,2,0,4,0.5,True
17,"('3.3', '3.4')","['3.4', '3.3', '3.3', '3.4', '3.4', '3.3', '3.3']","['3.3', '3.4', '3.4', '3.3', '3.3', '3.4', '3.4']",pilot_2,3.3,3.4,4,3,1,7,0.5714285714285714,True
18,"('4.1', '4.2')","['4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.2', '4.1', '4.1', '4.1', '4.1', '4.1', '4.2', '4.2', '4.1', '4.2', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2']","['4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.1', '4.2', '4.2', '4.2', '4.2', '4.2', '4.1', '4.1', '4.2', '4.1', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1']",pilot_2,4.1,4.2,27,27,0,54,0.5,True
19,"('4.1', '4.3')","['4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1']","['4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3']",pilot_2,4.1,4.3,7,0,7,7,1.0,False
20,"('4.1', '4.4')","['4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1', '4.1']","['4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4']",pilot_2,4.1,4.4,12,0,12,12,1.0,False
21,"('4.2', '4.3')","['4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2']","['4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3', '4.3']",pilot_2,4.2,4.3,60,0,60,60,1.0,False
22,"('4.2', '4.4')","['4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.4', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2', '4.2']","['4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.2', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4', '4.4']",pilot_2,4.2,4.4,39,1,38,40,0.975,False
23,"('5.1', '5.2')","['5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1']","['5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2']",pilot_2,5.1,5.2,20,0,20,20,1.0,False
24,"('5.1', '5.3')","['5.3', '5.1', '5.3', '5.1', '5.3', '5.1', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3']","['5.1', '5.3', '5.1', '5.3', '5.1', '5.3', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1']",pilot_2,5.3,5.1,23,3,20,26,0.8846153846153846,False
25,"('5.1', '5.4')","['5.1', '5.4', '5.1', '5.4', '5.1', '5.1', '5.1', '5.4', '5.1', '5.1', '5.1', '5.4', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4']","['5.4', '5.1', '5.4', '5.1', '5.4', '5.4', '5.4', '5.1', '5.4', '5.4', '5.4', '5.1', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1', '5.1']",pilot_2,5.4,5.1,28,15,13,43,0.6511627906976745,True
26,"('5.2', '5.3')","['5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3']","['5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2']",pilot_2,5.3,5.2,31,0,31,31,1.0,False
27,"('5.2', '5.4')","['5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4']","['5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2', '5.2']",pilot_2,5.4,5.2,43,0,43,43,1.0,False
28,"('5.3', '5.4')","['5.4', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4']","['5.3', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.4', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3', '5.3']",pilot_2,5.3,5.4,54,24,30,78,0.6923076923076923,True
29,"('6.1', '6.2')","['6.2', '6.2', '6.2', '6.2', '6.2', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1']","['6.1', '6.1', '6.1', '6.1', '6.1', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2']",pilot_2,6.1,6.2,52,5,47,57,0.9122807017543859,False
30,"('6.1', '6.3')","['6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.3', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1']","['6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.1', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3']",pilot_2,6.1,6.3,49,1,48,50,0.98,False
31,"('6.1', '6.4')","['6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.4', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.4', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1', '6.1']","['6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.1', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.1', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4']",pilot_2,6.1,6.4,58,2,56,60,0.9666666666666667,False
32,"('6.2', '6.3')","['6.2', '6.2', '6.3', '6.2', '6.3', '6.2', '6.2', '6.2', '6.2']","['6.3', '6.3', '6.2', '6.3', '6.2', '6.3', '6.3', '6.3', '6.3']",pilot_2,6.2,6.3,7,2,5,9,0.7777777777777778,False
33,"('6.2', '6.4')","['6.4', '6.2', '6.2', '6.2', '6.2', '6.4', '6.2', '6.4', '6.4', '6.2', '6.4', '6.4', '6.4', '6.4', '6.2', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4']","['6.2', '6.4', '6.4', '6.4', '6.4', '6.2', '6.4', '6.2', '6.2', '6.4', '6.2', '6.2', '6.2', '6.2', '6.4', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2', '6.2']",pilot_2,6.4,6.2,39,7,32,46,0.8478260869565217,False
34,"('6.3', '6.4')","['6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4', '6.4']","['6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3', '6.3']",pilot_2,6.4,6.3,46,0,46,46,1.0,False
