,total_match_number,subject_id,agent_id,original_elo_rating,updated_elo_rating,win_draw_loss,subject_ranking,agent_ranking,pairing_index,date,match,left_number_of_spots,right_number_of_spots,winner,loser,spot_number_difference,percent_difference,match_is_tie,notes,sheet_name,session_number_difference,processed_cage_num_of_winner,processed_cage_num_of_loser,cage_num_of_subject,cage_num_of_agent,subject_strain,agent_strain,experiment_type,cohort
0,1,1.1,1.3,1000.0,1010.0,1.0,1,2,0,2022-09-14,1v3,31.0,9.0,1.1,1.3,22.0,1.1,False,,CAGE1,,1,1,1,1,C57,C57,urine_marking,pilot_3
1,1,1.3,1.1,1000.0,990.0,0.0,2,1,1,2022-09-14,1v3,31.0,9.0,1.1,1.3,22.0,1.1,False,,CAGE1,,1,1,1,1,C57,C57,urine_marking,pilot_3
2,2,1.2,1.4,1000.0,1010.0,1.0,2,4,0,2022-09-14,2v4,8.0,70.0,1.2,1.4,62.0,1.5897435897435896,False,,CAGE1,0.0,1,1,1,1,C57,C57,urine_marking,pilot_3
3,2,1.4,1.2,1000.0,990.0,0.0,4,2,1,2022-09-14,2v4,8.0,70.0,1.2,1.4,62.0,1.5897435897435896,False,,CAGE1,0.0,1,1,1,1,C57,C57,urine_marking,pilot_3
4,3,1.4,1.1,990.0,990.6,0.5,3,2,0,2022-09-15,1v4,1.0,3.0,1.4,1.1,2.0,1.0,True,,CAGE1,1.0,1,1,1,1,C57,C57,urine_marking,pilot_3
5,3,1.1,1.4,1010.0,1009.4,0.5,2,3,1,2022-09-15,1v4,1.0,3.0,1.4,1.1,2.0,1.0,True,,CAGE1,1.0,1,1,1,1,C57,C57,urine_marking,pilot_3
6,4,1.2,1.3,1010.0,1019.4,1.0,1,4,0,2022-09-15,2v3,27.0,5.0,1.2,1.3,22.0,1.375,False,,CAGE1,0.0,1,1,1,1,C57,C57,urine_marking,pilot_3
7,4,1.3,1.2,990.0,980.6,0.0,4,1,1,2022-09-15,2v3,27.0,5.0,1.2,1.3,22.0,1.375,False,,CAGE1,0.0,1,1,1,1,C57,C57,urine_marking,pilot_3
8,5,1.1,1.2,1009.4,1009.7,0.5,2,1,0,2022-09-16,1vs2,1.0,1.0,1.1,1.2,0.0,0.0,True,,CAGE1,1.0,1,1,1,1,C57,C57,urine_marking,pilot_3
9,5,1.2,1.1,1019.4,1019.1,0.5,1,2,1,2022-09-16,1vs2,1.0,1.0,1.1,1.2,0.0,0.0,True,,CAGE1,1.0,1,1,1,1,C57,C57,urine_marking,pilot_3
