,date,cage,box,match,scorer,trial_1_winner,trial_2_winner,trial_3_winner,trial_4_winner,trial_5_winner,trial_6_winner,trial_7_winner,trial_8_winner,trial_9_winner,trial_10_winner,trial_11_winner,trial_12_winner,trial_13_winner,trial_14_winner,trial_15_winner,trial_16_winner,trial_17_winner,trial_18_winner,trial_19_winner,trial_20_winner,mouse_1_wins,mouse_2_wins,ties,sheet_name,animal_ids,cohort,strain,index
22,2022-05-20,2,2.0,2.1 v 2.2,,2.1,2.2,2.2,2.2,2.1,2.1,2.2,2.1,2.1,2.1,2.2,2.1,2.1,2.1,2.2,2.2,2.1,tie,tie,2.1,,,,Master Master,"('2.1', '2.2')",pilot_1,C57,22
23,2022-05-20,2,1.0,2.3 v 2.4,,2.3,2.3,2.4,2.4,tie,2.4,2.3,2.4,2.4,2.3,2.4,2.4,2.3,2.4,2.3,2.4,2.4,2.4,2.4,2.4,,,,Master Master,"('2.3', '2.4')",pilot_1,C57,23
24,2022-05-19,3,1.0,3.1 v 3.2,,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.2,,checked whole row,,Master Master,"('3.1', '3.2')",pilot_1,CD1,24
25,2022-05-19,3,2.0,3.3 v 3.4,,3.3,3.4,3.4,3.3,3.3,3.3,3.4,3.3,3.3,3.3,3.3,3.3,3.4,3.3,3.4,3.3,3.3,3.4,3.3,3.3,0.0,0,0.0,Master Master,"('3.3', '3.4')",pilot_1,CD1,25
26,2022-05-19,3,3.0,3.1 v 3.3,,3.3,3.1,3.1,3.3,3.1,3.3,3.1,3.1,3.1,3.3,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.3,,,,,Master Master,"('3.1', '3.3')",pilot_1,CD1,26
27,2022-05-19,3,4.0,3.2 v 3.4,,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.4,tie,3.4,3.2,3.2,,,checked whole row,,Master Master,"('3.2', '3.4')",pilot_1,CD1,27
28,2022-05-19,3,1.0,3.1 v 3.4,,3.4,3.4,3.1,Tie,3.1,3.4,3.1,3.1,3.1,3.4,3.1,3.4,3.1,3.1,3.1,3.1,3.4,3.1,3.1,NO TRIAL,0.0,0,1.0,Master Master,"('3.1', '3.4')",pilot_1,CD1,28
29,2022-05-19,3,2.0,3.2 v 3.3,,tie,3.2,3.2,3.2,3.2,3.2,3.2,3.2,tie,3.3,tie,3.3,tie,3.2,3.3,3.2,3.2,3.3,3.2,,,,,Master Master,"('3.2', '3.3')",pilot_1,CD1,29
30,2022-05-20,3,4.0,3.1 v 3.4,,3.4,3.4,3.1,3.1,3.4,3.1,3.1,3.4,3.1,3.1,3.1,3.4,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,0.0,0,0.0,Master Master,"('3.1', '3.4')",pilot_1,CD1,30
31,2022-05-20,3,3.0,3.2 v 3.3,,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.2,3.3,3.2,3.3,3.3,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.3,,checked whole row,,Master Master,"('3.2', '3.3')",pilot_1,CD1,31
32,2022-05-20,3,2.0,3.1 v 3.3,,tie,3.1,3.3,3.3,3.3,3.3,3.1,3.3,3.1,3.1,3.1,3.1,3.3,tie,3.1,3.3,3.1,3.1,3.3,3.1,,,,Master Master,"('3.1', '3.3')",pilot_1,CD1,32
