,subject_id,final_elo_score,cohort,strain,cage,experiment_type,rank
0,1.1,1193.9,pilot_2,C57,1,reward_competition,1.0
1,1.2,1017.3,pilot_2,C57,1,reward_competition,2.0
2,1.3,893.9,pilot_2,C57,1,reward_competition,4.0
3,1.4,894.9,pilot_2,C57,1,reward_competition,3.0
4,2.1,814.8,pilot_2,C57,2,reward_competition,4.0
5,2.2,1006.5,pilot_2,C57,2,reward_competition,3.0
6,2.3,1033.5,pilot_2,C57,2,reward_competition,2.0
7,2.4,1145.2,pilot_2,C57,2,reward_competition,1.0
8,3.1,1073.2,pilot_2,C57,3,reward_competition,2.0
9,3.2,821.1,pilot_2,C57,3,reward_competition,4.0
10,3.3,1022.5,pilot_2,C57,3,reward_competition,3.0
11,3.4,1083.2,pilot_2,C57,3,reward_competition,1.0
12,4.1,885.4,pilot_2,CD1,4,reward_competition,4.0
13,4.2,1032.0,pilot_2,CD1,4,reward_competition,3.0
14,4.3,1043.6,pilot_2,CD1,4,reward_competition,1.0
15,4.4,1039.0,pilot_2,CD1,4,reward_competition,2.0
16,5.1,1060.4,pilot_2,CD1,5,reward_competition,2.0
17,5.2,1158.6,pilot_2,CD1,5,reward_competition,1.0
18,5.3,879.9,pilot_2,CD1,5,reward_competition,4.0
19,5.4,901.1,pilot_2,CD1,5,reward_competition,3.0
20,6.1,1117.1,pilot_2,CD1,6,reward_competition,1.0
21,6.2,948.4,pilot_2,CD1,6,reward_competition,3.0
22,6.3,1023.3,pilot_2,CD1,6,reward_competition,2.0
23,6.4,911.2,pilot_2,CD1,6,reward_competition,4.0
