,rc_animal_ids,rc_date,rc_winner,rc_loser,rc_winner_no_ties,rc_loser_no_ties,rc_different_result_as_previous,rc_number_of_switches,cohort,processed_cage_number,strain,rc_averaged_winner,rc_averaged_loser,rc_winner_count,rc_loser_count,rc_tie_count,rc_all_match_count_including_ties,rc_winner_count_minus_loser_count,rc_win_to_win_plus_lost_ratio,rc_win_to_all_ratio,rc_is_win_to_win_and_loss_ratio_tie,rc_tie_to_all_ratio
10,"('1.3', '1.4')",2022-05-19,"['1.4', '1.4', '1.3', '1.3', '1.4', '1.4', '1.4', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.4', '1.4', '1.4', '1.4', '1.3', '1.3']","['1.3', '1.3', '1.4', '1.4', '1.3', '1.3', '1.3', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.3', '1.3', '1.3', '1.3', '1.4', '1.4']","['1.4', '1.4', '1.3', '1.3', '1.4', '1.4', '1.4', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.3', '1.4', '1.4', '1.4', '1.4', '1.3', '1.3']","['1.3', '1.3', '1.4', '1.4', '1.3', '1.3', '1.3', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.4', '1.3', '1.3', '1.3', '1.3', '1.4', '1.4']","[False, True, False, True, False, False, True, False, False, False, False, False, False, True, False, False, False, True, False]",5,pilot_1,1,C57,1.3,1.4,11,9,0,20,2,0.55,0.55,True,0.0
11,"('1.3', '1.4')",2022-05-20,"['1.4', '1.3', '1.4', '1.4', '1.4', '1.3', '1.4', '1.3', '1.3', '1.3', '1.4', '1.3', '1.4', 'tie', '1.4', '1.3', '1.4', '1.4', '1.4', '1.3']","['1.3', '1.4', '1.3', '1.3', '1.3', '1.4', '1.3', '1.4', '1.4', '1.4', '1.3', '1.4', '1.3', 'tie', '1.3', '1.4', '1.3', '1.3', '1.3', '1.4']","['1.4', '1.3', '1.4', '1.4', '1.4', '1.3', '1.4', '1.3', '1.3', '1.3', '1.4', '1.3', '1.4', '1.4', '1.3', '1.4', '1.4', '1.4', '1.3']","['1.3', '1.4', '1.3', '1.3', '1.3', '1.4', '1.3', '1.4', '1.4', '1.4', '1.3', '1.4', '1.3', '1.3', '1.4', '1.3', '1.3', '1.3', '1.4']","[True, True, False, False, True, True, True, False, False, True, True, True, False, True, True, False, False, True]",11,pilot_1,1,C57,1.4,1.3,11,8,1,20,3,0.5789473684210527,0.55,True,0.05
12,"('2.1', '2.2')",2022-05-19,"['2.1', '2.1', '2.2', '2.1', '2.1', 'tie', '2.1', '2.2', '2.2', '2.2', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.2', '2.2', '2.1']","['2.2', '2.2', '2.1', '2.2', '2.2', 'tie', '2.2', '2.1', '2.1', '2.1', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.1', '2.1', '2.2']","['2.1', '2.1', '2.2', '2.1', '2.1', '2.1', '2.2', '2.2', '2.2', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.2', '2.2', '2.1']","['2.2', '2.2', '2.1', '2.2', '2.2', '2.2', '2.1', '2.1', '2.1', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.1', '2.1', '2.2']","[False, True, True, False, False, True, False, False, True, False, False, False, False, False, False, True, False, True]",6,pilot_1,2,C57,2.1,2.2,13,6,1,20,7,0.6842105263157895,0.65,False,0.05
13,"('2.1', '2.2')",2022-05-20,"['2.1', '2.2', '2.2', '2.2', '2.1', '2.1', '2.2', '2.1', '2.1', '2.1', '2.2', '2.1', '2.1', '2.1', '2.2', '2.2', '2.1', 'tie', 'tie', '2.1']","['2.2', '2.1', '2.1', '2.1', '2.2', '2.2', '2.1', '2.2', '2.2', '2.2', '2.1', '2.2', '2.2', '2.2', '2.1', '2.1', '2.2', 'tie', 'tie', '2.2']","['2.1', '2.2', '2.2', '2.2', '2.1', '2.1', '2.2', '2.1', '2.1', '2.1', '2.2', '2.1', '2.1', '2.1', '2.2', '2.2', '2.1', '2.1']","['2.2', '2.1', '2.1', '2.1', '2.2', '2.2', '2.1', '2.2', '2.2', '2.2', '2.1', '2.2', '2.2', '2.2', '2.1', '2.1', '2.2', '2.2']","[True, False, False, True, False, True, True, False, False, True, True, False, False, True, False, True, False]",8,pilot_1,2,C57,2.1,2.2,11,7,2,20,4,0.6111111111111112,0.55,False,0.1
14,"('2.1', '2.3')",2022-05-19,"['2.3', '2.3', '2.1', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.1', '2.1', '2.1', '2.3', '2.3', '2.1', '2.3', '2.1', '2.1', '2.3']","['2.1', '2.1', '2.3', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.3', '2.3', '2.3', '2.1', '2.1', '2.3', '2.1', '2.3', '2.3', '2.1']","['2.3', '2.3', '2.1', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.1', '2.1', '2.1', '2.3', '2.3', '2.1', '2.3', '2.1', '2.1', '2.3']","['2.1', '2.1', '2.3', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.3', '2.3', '2.3', '2.1', '2.1', '2.3', '2.1', '2.3', '2.3', '2.1']","[False, True, True, False, False, False, False, False, True, False, False, True, False, True, True, True, False, True]",8,pilot_1,2,C57,2.3,2.1,12,7,0,19,5,0.631578947368421,0.631578947368421,False,0.0
15,"('2.1', '2.3')",2022-05-20,"['2.3', 'tie', '2.1', '2.3', 'tie', 'tie', 'tie', '2.1', 'tie', 'tie', '2.3', 'tie', '2.3', '2.1', '2.1', '2.1', 'tie', 'tie', 'tie', '2.1']","['2.1', 'tie', '2.3', '2.1', 'tie', 'tie', 'tie', '2.3', 'tie', 'tie', '2.1', 'tie', '2.1', '2.3', '2.3', '2.3', 'tie', 'tie', 'tie', '2.3']","['2.3', '2.1', '2.3', '2.1', '2.3', '2.3', '2.1', '2.1', '2.1', '2.1']","['2.1', '2.3', '2.1', '2.3', '2.1', '2.1', '2.3', '2.3', '2.3', '2.3']","[True, True, True, True, False, True, False, False, False]",5,pilot_1,2,C57,2.1,2.3,6,4,10,20,2,0.6,0.3,False,0.5
16,"('2.1', '2.4')",2022-05-19,"['2.1', '2.4', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.4', '2.1', '2.1', '2.1', '2.4', '2.1', '2.1', '2.1', '2.1']","['2.4', '2.1', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.1', '2.4', '2.4', '2.4', '2.1', '2.4', '2.4', '2.4', '2.4']","['2.1', '2.4', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.4', '2.1', '2.1', '2.1', '2.4', '2.1', '2.1', '2.1', '2.1']","['2.4', '2.1', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.1', '2.4', '2.4', '2.4', '2.1', '2.4', '2.4', '2.4', '2.4']","[True, True, False, False, False, False, False, False, False, False, True, True, False, False, True, True, False, False, False]",6,pilot_1,2,C57,2.1,2.4,17,3,0,20,14,0.85,0.85,False,0.0
17,"('2.1', '2.4')",2022-05-20,"['2.1', '2.4', '2.1', '2.4', '2.4', '2.1', '2.4', 'tie', '2.1', 'tie', 'tie', '2.1', '2.1', 'tie', 'tie', '2.1', '2.1', '2.1', '2.1', '2.1']","['2.4', '2.1', '2.4', '2.1', '2.1', '2.4', '2.1', 'tie', '2.4', 'tie', 'tie', '2.4', '2.4', 'tie', 'tie', '2.4', '2.4', '2.4', '2.4', '2.4']","['2.1', '2.4', '2.1', '2.4', '2.4', '2.1', '2.4', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1', '2.1']","['2.4', '2.1', '2.4', '2.1', '2.1', '2.4', '2.1', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4', '2.4']","[True, True, True, False, True, True, True, False, False, False, False, False, False, False]",6,pilot_1,2,C57,2.1,2.4,11,4,5,20,7,0.7333333333333333,0.55,False,0.25
18,"('2.2', '2.3')",2022-05-19,"['2.2', '2.3', '2.2', '2.3', '2.2', '2.3', 'tie', '2.2', '2.3', 'tie', '2.2', '2.2', '2.3', '2.3', '2.3', '2.3', '2.3', 'tie', '2.3', '2.2']","['2.3', '2.2', '2.3', '2.2', '2.3', '2.2', 'tie', '2.3', '2.2', 'tie', '2.3', '2.3', '2.2', '2.2', '2.2', '2.2', '2.2', 'tie', '2.2', '2.3']","['2.2', '2.3', '2.2', '2.3', '2.2', '2.3', '2.2', '2.3', '2.2', '2.2', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.2']","['2.3', '2.2', '2.3', '2.2', '2.3', '2.2', '2.3', '2.2', '2.3', '2.3', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.3']","[True, True, True, True, True, True, True, True, False, True, False, False, False, False, False, True]",10,pilot_1,2,C57,2.3,2.2,10,7,3,20,3,0.5882352941176471,0.5,True,0.15
19,"('2.2', '2.3')",2022-05-20,"['2.3', '2.2', '2.3', '2.2', '2.2', '2.3', '2.2', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.2', '2.3', '2.3', '2.3', '2.3']","['2.2', '2.3', '2.2', '2.3', '2.3', '2.2', '2.3', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.3', '2.2', '2.2', '2.2', '2.2']","['2.3', '2.2', '2.3', '2.2', '2.2', '2.3', '2.2', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.3', '2.2', '2.3', '2.3', '2.3', '2.3']","['2.2', '2.3', '2.2', '2.3', '2.3', '2.2', '2.3', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.2', '2.3', '2.2', '2.2', '2.2', '2.2']","[True, True, True, False, True, True, True, False, False, False, False, False, False, False, True, True, False, False, False]",8,pilot_1,2,C57,2.3,2.2,15,5,0,20,10,0.75,0.75,False,0.0
